id,name,urlname,link,rating,created,description,member_id,mname
1775196,Club of Delhi,clubofdelhi,https://www.meetup.com/clubofdelhi/,4.34,1296403914e3,"<p><span>The idea behind starting <strong> Club of Delhi</strong> is to have people meetup.  </span></p>
<p><span>We will  organize many social activities including outdoor fun activities such as hiking, camping, climbing, backpacking, skiing etc. anywhere around </span></p>
<p><span>5 years on, this group has become a great community that allows people to connect and do activities together. </span></p>
<p><span>Our mission is to EXPLORE </span> <br></p>
<p><span>Join Us!</span></p>
<p><br></p>
<p> <br></p>",195418966,Paul
1782557,Experiential Group Tours,experiential-group-tours,https://www.meetup.com/experiential-group-tours/,4.36,1297514653e3,"<p>This group is for anyone and everyone interested in checking a few items from their travel bucket list, experiencing new cultures, visting off-beat locations, weekend getaways, festival trips and exploring Indian villages. We also organize women-only tours and on demand tours. We expectation you to respect environment and local culture while traveling. Come onboard for some of the most memorable journeys of your life.</p>
<p><strong><i>We do not allow the use of this site by male members for solicitation of female companionship and vice versa. Sending of messages soliciting the friendship of any member is looked down upon. That's exactly the kind of person we do not seek to befriend.</i></strong> <br></p>",192725392,Chandni Aggarwal
3170282,Discuss Agile Network Delhi,discuss-agile-network-delhi,https://www.meetup.com/discuss-agile-network-delhi/,4.64,1327549127e3,"<p><span>Our Mission is to create and nurture a learning community of IT Professionals.</span></p>
<p><span><span> <br> </span></span></p>",10996749,Saket Bansal
3249232,Delhi MongoDB User Group,mongo-dilli,https://www.meetup.com/mongo-dilli/,4.44,1328629963e3,"<p>The Delhi MongoDB User Group is a place where you get to meet like minded technologists and talk about code, architecture, innovation, opportunities, and share ideas about real-world problems that MongoDB solves or has potential to solve.</p>
<p>The meetups in the past have been attended by users, enthusiasts, startup entrepreneurs, technologists, hackers and enthusiasts vying to learn about MongoDB.</p>",47839632,MongoDB
3328472,Badminton Delhi,Badminton-Delhi,https://www.meetup.com/Badminton-Delhi/,4.48,1329740571e3,"<p>It is all about getting together and playing badminton in and around Delhi NCR.</p>
<p><span>Play. Learn. Enjoy.</span></p>
<p><span>Hurray!</span> <br></p>",98072382,Ritesh Angural
3537762,The NOIDA Coffee Meetup Group,The-NOIDA-Group,https://www.meetup.com/The-NOIDA-Group/,4.07,133258853e4,<p><span>We are here to share our thoughts and make the life more interesting to live. We are another close family of friends and here to help each other wherever possible.</span><br></p>,23750591,Suresh Jangir
3542802,Delhi Book Lovers,Delhibookgroup,https://www.meetup.com/Delhibookgroup/,4.03,1332683946e3,"<p>Delhi Book Lovers (DBL) is an elite book club for everyone who loves reading quality fiction or non-fiction books across genres, be it spiritual, motivational or religious, who want to meet, discuss &amp; exchange their views on various books. It offers a great platform for aspiring writers in the city to share &amp; motivate each other towards a positive and productive direction. We have grown to become the largest book club for like minded people today in Delhi &amp; NCR.</p>
<p>DBL has been covered regularly by the print media. Besides just discussing books, this club also holds author-interactive sessions, events, book releases, and workshops for aspiring writers.</p>
<p>The main objective is to give the members the freedom to express their views about varied literature and to bring creativity to the literature world. Passionate about debates and discussion on various books based on different philosophies, mindsets, personalities, experiences, fantasies etc., DBL’s unique for seeking the spirit for new creativity.</p>
<p>So join us to attend our meets, discussions, book releases, events and writing workshops&nbsp;over a cup of coffee at coffee shops. You’ll also get the opportunity to make new acquaintances and friends besides sharing some decent conversation on the books.</p>",12358157,Kunal 
3662142,Novel Ideas - Gurgaon Book Club,Gurgaon-Book-Club-Novel-Ideas,https://www.meetup.com/Gurgaon-Book-Club-Novel-Ideas/,4.54,1334329808e3,"<p><strong>Meet Book Club Enthusiasts in Gurgaon</strong></p>
<p>Do you enjoy a Murder Mystery? Philosophy? Travel adventure? Mulling the mysteries of creation? Metaphysics and the biggest question of all.. why are we here?</p>
<p>Or do you like to indulge yourself into a juicy autobiography?</p>
<p><strong>We meet to have a fun, intellectually stimulating discussion</strong> on books, politics, religion, spirituality, and every other topic under the sun. And have fun and laughs and a great time.</p>
<p><strong>We meet on every alternate Saturday, and occasionally Sundays.</strong></p>
<p><strong>Membership is FREE.</strong></p>
<p>Meetings occur at book stores or at coffee shops and restaurants around M.G. Road area in Gurgaon.</p>",219851173,Vijay S
3732202,"Mixed Professionals! Freinds, Fun Times, Socials and More!!",Extraordinary-Minglers,https://www.meetup.com/Extraordinary-Minglers/,4.52,133528006e4,"<p><img src=""http://photos3.meetupstatic.com/photos/event/6/1/c/e/600_440605038.jpeg""></p>
<p><span>Single looking to socialize? In a loving relationship looking for fun events? Professional looking to network? Look no further. Join us! We are a group of active professionals seeking adventures beyond our daily grind, building new friendships through social networking, and/or looking to meet that special someone along the way.&nbsp;First and foremost though, our focus is building a circle of friends and making connections!</span></p>
<p>If you are new to Delhi/NCR or have been here your whole life and your social circle&nbsp;diminished over time, this is the place to expand your social circle again. &nbsp;We have fun activities and social events that make making friends as easy as 1-2-3! :)</p>
<p><img src=""http://photos1.meetupstatic.com/photos/event/6/1/6/c/600_440604940.jpeg""></p>
<p> <br></p>
<p>Of course, if you are single and are looking to find that special someone, what better way is there than through fun activities where you can learn about each other without the pressure of the uncomfortable first&nbsp;date? Our events are low pressure and low stress. It's like hanging out with old friends. <br></p>
<p> <br></p>
<p>Now, what else should you know about this group? If you are&nbsp;adventurous and love the outdoors, you are in luck. We absolutely love hiking and camping in the summer and snowboarding in the winter. No worries though if you are more into the cultural events and museums that Los Angeles has to offer. We enjoy broadening our minds with arts and culture. Delhi/NCR is one of the most dynamic cities with more cultural diversity than most. We will explore Delhi/NCR and all its glory!</p>
<p><img src=""http://photos3.meetupstatic.com/photos/event/6/1/6/5/600_440604933.jpeg""></p>
<p>What if you enjoy the occasional socializing over a drink at a bar or relaxing by a bonfire at the beach? We have those too. For those that enjoy a good party here and there. So do we. We like theme parties such as masquerade party, mustache and wig party, and nerd and geek party. We also have fun celebrations like Halloween and New Year Eve Bash. We have events to cover all grounds!</p>
<p><img src=""http://photos2.meetupstatic.com/photos/event/6/1/4/0/600_440604896.jpeg""></p>
<p>Ultimately<span>, our main focus is connections!&nbsp;We are a group of fun professionals that continue to expand our minds through relationships, events and life experiences! &nbsp;JOIN US!&nbsp;</span> <br></p>
<p> <br></p>
<p> <br></p>",146252862,Kapil Gupta
3739892,Node.js Dilli,Node-js-Dilli,https://www.meetup.com/Node-js-Dilli/,3.38,1335372798e3,"<p><b>[Currently on hold]</b></p>
<p>Community for Node.js hackers and enthusiasts in and around New Delhi, Gurgaon, Noida and the greater NCR.</p>
<p>Who should join?</p>
<p>* Node.js and JavaScript programmers, enthusiasts and hackers <br> * Technologists interested in event based I/O <br> * Start-ups / organisations evaluating Node.js and related technologies</p>
<p>What to expect?</p>
<p>Monthly meet-ups, hackathons, demos, sessions, beer.</p>",124136152,Anup Bishnoi
3961322,Divorced / Filed for divorce,Divorced-filed-for-divorce,https://www.meetup.com/Divorced-filed-for-divorce/,4.64,133830164e4,"<p style=""text-align : justify""><span style=""color : #0000ff""><em>This group is meant only for divorced men/women( only exception being those filed for divorce) who are struggling to cope up with the new status and wish the life change for the better.We request only genuine people join the group and when we meet please be frank and be true to yourselves. The idea is to form a group where we can discuss problems/possible solutions/share views and find a new direction in life and help each other as much as possible. Our meet ups are generally the usual stuff; lunch, dinner, coffee sessions,picnics/outings &amp; some times the self analysis &amp; healing exercises and we believe such breaks help us understand other members faster and develop trust worthy friendships. Members are encouraged to discuss their challenges, if they want to, and seek advises from others.</em></span></p>
<p style=""text-align : justify""><span style=""color : #0000ff""><em>Please note that <strong>this is not a dating site</strong> &amp; and if that is what you are looking for, please do not join this group. This group welcomes only well mannered decent individuals who respect each other, their privacy &amp; will work towards creating a great &amp; trust worthy community of our own.</em></span></p>",46555972,Umesh Gupta
4045012,WAFT: Wildlife & Forests Travel Group.,Wildlife-and-Forests-Travel-Group,https://www.meetup.com/Wildlife-and-Forests-Travel-Group/,4.52,1339340153e3,"<p>Living in our urban jungles, all of us experience the occasional yearning for a simpler life, one lived in closer harmony with nature. This group is a travel as well as resource and support group for like minded nomad spirits who seek company to lighten their solitary sojourns. My experiences as a veteran traveller have made me aware of the need for such a platform, as many a journey remains a mere dream due to lack of ideas, logistical support and fellow travellers. The idea behind forming this group is to create an expanding network of travellers interested in undertaking wildlife oriented trips. Come, become a Ranger and discover a whole new world. Come, turn your dreams of wildlife travel into an experience to remember!</p> 
<p>NP: Your group has a facebook portal too, please follow the enclosed link to become a member there for instant communication, chat, posting of pictures and blogs etc;</p> 
<p><a href=""https://www.facebook.com/groups/54032824265"" class=""linkified"">https://www.facebook.com/groups/54032824265</a>...</p>",13841318,Sudhir Kochhar
4265822,Womenspiration,womenspirtaion,https://www.meetup.com/womenspirtaion/,4.83,1341848573e3,"<p>WOMENSPIRATIONAre you ready to supercharge your business and life?&nbsp;</p>
<p>Womenspiration is the answer for you…</p>
<p>We at Womenspirtaion focus on inspiring women to build the perfect balance in work, life, and fun.</p>
<p>You know you are meant for more than the typical grind of a stressful job and a struggle to manage family.</p>
<p>BUT . . .</p>
<p>•&nbsp;You don’t know where to start and need guidance and expertise to get you there</p>
<p>•&nbsp;You want more clarity on your business model so you can confidently start&nbsp;</p>
<p>•&nbsp;You’re ready to switch from surviving to thriving, freedom in business and life you deserve.</p>
<p>At Womenspiration we help you:</p>
<p>• Start a thriving business you love.</p>
<p>• Get confident and have control of your own life.</p>
<p>•&nbsp;Eliminate stress and struggle in your business.</p>
<p>• Simplify your business model and spend your time and efforts on aspects that you love and eliminate, outsource or automate those that don’t serve you. (This is so key!)</p>
<p>• Improve your client base and social media/ online presence.</p>
<p>• Break through anything standing between you having the business and life of your dreams.</p>
<p>• Getting the support, systems and know how now will fast track you to where you want to go.</p>
<br>",13153826,Juhi Chauhan
4273602,The Dancers' Station,thedancersstation,https://www.meetup.com/thedancersstation/,4.54,1341910866e3,"<p>This is a group for all those who love afro latin partner dancing...be it bachata,salsa ,kizoomba or kizoomba <br> We hope on meeting on a weekly basis for dancing/dance lessons/drinking/eating/laughing and what not :) <br> <br></p>",126393912,StepUp
4329532,dealing in innovative ideas.,innovative,https://www.meetup.com/innovative/,0,1342549412e3,dealing in innovative ideas.,43107452,manmohan singh Koshyari
4329582,Indian Inruders Group,inruders,https://www.meetup.com/inruders/,0,1342549879e3,NA,54562432,dr uma shanker
4575112,New Delhi Salesforce Developer Group,New-Delhi-Salesforce-Platform-Developer-User-Group,https://www.meetup.com/New-Delhi-Salesforce-Platform-Developer-User-Group/,4.58,1345244419e3,"<p>Connect with other New Delhi developers building on the Salesforce Platform.</p>
<p>Let's share our knowledge with each other and learn.</p>
<p>#SalesforceSaturday #Trailhead Badges @newdelhisfdcdug</p>",204135137,Salesforce Developers
4856922,"""Brilliant Sparks of God"" & ""Abundance of Holy Living""",Brilliant-Sparks-of-God,https://www.meetup.com/Brilliant-Sparks-of-God/,4.91,1347270177e3,"<p>""Brilliant Sparks of God &amp; Abundance of Holy Living"" Meetup group is about supporting each other to live a life full of “Shine &amp; Brilliance” and turbo charged living at full life potential using techniques like meditation, Theta Healing, Energy Healing, Spiritual Healing, NLP, Past Life Therapy, etc. Thereby enabling each member to live a wonderful life of empowerment, joy, happiness, good health &amp; relationships.</p>",46880642,Amit Kohli
5130202,"""Our Agile Journey"" Meetup for Delhi-NCR region",Our-Agile-Journey-Meetup-for-Delhi-NCR-region,https://www.meetup.com/Our-Agile-Journey-Meetup-for-Delhi-NCR-region/,5,1348737964e3,"<p>Agile is a ""journey"" - a continuous ""feedback loop"" and process of ""adopting new learnings""; constant evolution. The objective of this group, in the Delhi NCR region is to enable Agile practitioners to a) share their journey, challenges and learnings b) learn from peers c) encourage practitioners to write / blog / present papers on Agile The meetup is also a forum for businesses that are considering using Agile as a methodology for their software product development needs, to learn from the presenters, and perhaps even work with presenters. All this with the goal of creating a vibrant Agile community in the region that learns from each other, and for improvement of the larger business environment in the software industry in India.</p>",185697623,rrishee
5345132,Hacks/Hackers India,HacksHackersIN,https://www.meetup.com/HacksHackersIN/,4,1349970803e3,"<p>[DISCLAIMER: THIS GROUP HAS NOTHING TO DO WITH COMPUTER HACKING.] <br></p>
<p><span><a href=""http://hackshackers.com"">Hacks/Hackers</a> is a global collective of people interested in the intersection between news and technology — journalists, developers, designers, product managers, entrepreneurs, students, and many more.&nbsp;</span></p>
<p><span>In India — specifically Delhi, Mumbai and Bengaluru —&nbsp;we regularly host show-and-tell case presentations, hands-on skills workshops and/or weekend hackathons focused on the trends/challenges in digital journalism.</span></p>
<p><span>If you have ideas for our next event or would like to help organise a meetup, do write to us at delhi@hackshackers.com</span></p>
<p><span>P.S. We're also on </span><a href=""https://www.facebook.com/groups/hackshackersdelhi/"">Facebook</a><span>. :)</span><span> <br></span></p>",29712182,Hacks/Hackers
5491642,New Delhi  UseR Group (R Programming Language),New-Delhi-R-UseR-Group,https://www.meetup.com/New-Delhi-R-UseR-Group/,3.97,1350844422e3,"<p>Hi All,&nbsp;</p>
<p>&nbsp; &nbsp; I am Zareef Ahmed, I got&nbsp; organisership of this group recently (In month of March) as founders left it in the middle(They may have found something else to be more important). I&nbsp; have some certain plans to hold our meetups regularly. In next few days, I will come up with a proper plan.&nbsp; There were some cancelled meetings in the past, I can assure you that it will change and group will become vibrant again.</p>
<p>P.S.</p>
<p>From now, we will have a monthly meeting, First of this series is being held on August 18, 2018.</p>
<p>Suggestions are invited for any extra meetings.&nbsp;</p>
<p><br></p>
<p>==========================================================================================</p>
<p> <br></p>
<p> <br></p>
<p>R is an open source programming language for statistical computing, data analysis, and graphical visualization. R has an estimated one million users worldwide, and its user base is growing. While most commonly used within academia, in fields such as computational biology and applied statistics, it is gaining currency in commercial areas such as quantitative finance and business intelligence.</p>
<p>Among R's strengths as a language are its powerful built-in tools for inferential statistics, its compact modeling syntax, its data visualization capabilities, and its ease of connectivity with persistent data stores (from databases to flatfiles). In addition, R's open source nature and its extensibility via add-on ""packages"" has allowed it to keep up with the leading edge in academic research. For all its strengths, though, R has an admittedly steep learning curve; the first steps towards learning and using R can be challenging.</p>
<p>To this end, the New Delhi R Users Group is dedicated to bringing together area practitioners of R to exchange knowledge, inspire new users, and spur the adoption of R for innovative research and commercial applications.</p>",234694667,Zareef Ahmed
5728622,Drupal Enthusiasts,Drupal-India,https://www.meetup.com/Drupal-India/,4.59,135222286e4,"<p>The ""watering hole"" for all users and developers associated with Drupal across India.</p>",117746062,Vineet Bhardwaj
5854732,Gurgaon Salesforce Developer Group,Gurgaon-Salesforce-Developer-Group,https://www.meetup.com/Gurgaon-Salesforce-Developer-Group/,4.55,135295144e4,"<p>This user group for Salesforce.com &amp; Force.com based out of gurgaon, welcomes everyone who is on the fast track to becoming a Salesforce evangelist(trust us, everyone who gets a taste of Salesforce becomes one). We hold discussions, meet-ups, conferences, webinars, all focussed on latest developments of Salesforce. We expect every member in our community to be a contributor and a learner. So join us today to learn, share and network; in short, to live and breathe Salesforce! If you are one such Salesforce enthusiast who wants to know more about Salesforce, or knows and wants to share their thoughts on the latest trends in Salesforce or is perhaps a user trying to gauge if Salesforce is a good fit for your business, you have reached the right place!</p> 
<p>Keep following us</p> 
<p>on FB : <a href=""https://www.facebook.com/SalesforceGurgaon"">https://www.facebook.com/SalesforceGurgaon</a></p> 
<p>LinkedIN: <a href=""http://LinkedIn.SalesforceGurgaon.com"">http://LinkedIn.SalesforceGurgaon.com</a></p> 
<p>Google + : <a href=""http://gplus.SalesforceGurgaon.com"">http://gplus.SalesforceGurgaon.com</a></p>",204135137,Salesforce Developers
6136372,Delhi Adda,delhiadda,https://www.meetup.com/delhiadda/,4.89,1354779879e3,"<p>We&nbsp;want to encourage as many members as possible to host events. If you are interested in hosting an awesome event then post it on our group (with detailed information so that we can approve it) and/or let us know. Your event should have complete information with regards to contacts, date/time, venue etc. Links to external website or group will not be allowed.&nbsp;</p>
<p><span>We want to hear from our members and keep the good times rolling.&nbsp;</span><span>My hope is&nbsp;that&nbsp;we develop friendships while taking part in activities.</span> <br></p>
<p><span>Follow this link on your mobile to join&nbsp;Delhi Adda WhatsApp group: <a href=""https://chat.whatsapp.com/3RmvK2PcoMZ4fCqgXg8dzu"" class=""linkified"">https://chat.whatsapp.com/3RmvK2PcoMZ4fCqgX...</a> <br></span></p>
<p><br></p>
<p>If you want to know more about me then read it here.&nbsp;</p>
<p>•&nbsp;<b>Facebook</b>:&nbsp;<a href=""https://www.facebook.com/krishna.kuya"">https://www.facebook.com/krishna.kuya</a></p>
<p>•&nbsp;<b>Twitter</b>:&nbsp;<a href=""https://twitter.com/KrishnaKuya"">https://twitter.com/KrishnaKuya</a>&nbsp;</p>
<br>
<p>Warm Regards.</p>
<p> <br> </p>
<p><img src=""https://a248.e.akamai.net/secure.meetupstatic.com/photos/event/c/9/5/f/600_455751551.jpeg""></p>",119120472,Krishna Kuya
6440142,Anubhuti of InnerSelf,anubhuti,https://www.meetup.com/anubhuti/,5,1357121352e3,"<p><span style=""font-size : small""><strong><span><span style=""font-size : medium"">ANUBHUTI---Spirituality lies in ordinariness.</span>Come and experience the Truth with the help of self enlightened facilitator who has the path and experience to share with you for your self realisation. Self enlightenment is not an object or a subject which can be given or told, it can only be experienced.We believe not just in words or philosophies but in experiencing (Anubhuti).We believe that each soul is pure and has inherent knowledge. Knowledge is revealed by the deep silence within. Anubhuti creates possibilities for this revelation to happen through understanding and practices e.g. we help you for your chakral growth from 4-5"" to 20-24"" or more, to clear all negative psychic impressions from primeval time etc. which facilitates the awakening of kundalini  to full enlightenment . We also correct kundalini syndrome and help to clear the path for the ultimate journey.</span></strong></span></p>
<p><span style=""font-size : small""><strong><span>Anubhuti organizes healing workshops and retreats which provide physical, mental, emotional, spiritual and financial stability.</span></strong></span></p>
<p><span style=""font-size : small""><strong><span>One of the unique programmes of Anubhuti is 365 days meditation in which we facilitate every seeker to meditate from their own home by connecting to the living Master to experience life beyond physical self. Wonderful experiences like solutions to problems,stability in various aspects of life, miraculous healings, astral travelling, premonitions etc have been experienced and observed by seekers throughout the world.</span></strong></span></p>
<p><span style=""font-size : small""><strong><span>Anubhuti supports HIV+kids, orphans,slum children and destitute women.<br>

</span></strong></span></p>
<p><span style=""font-size : x-small""><span><strong>Website details are not available at Meetup Group.</strong></span></span></p>
<p><span style=""font-size : x-small""><span><strong>Contact details for Meetup Group-- <span style=""color : #3f57a4"">divineblessingforall@ymail.com</span></strong></span></span></p>
<p><strong>Join us on facebook- <a class=""linkified"" href=""https://www.facebook.com/pages/Anubhuti-Of-Inner-Self/159284644233965"">https://www.facebook.com/pages/Anubhuti-Of-...</a></strong></p>
<p> </p>",173322032,Hemant Agrawal
6747772,UX designers & Front-end Developers Delhi NCR,UI-UX-Delhi,https://www.meetup.com/UI-UX-Delhi/,4.12,1358682454e3,"<p><span>We are a bunch of enthusiastic designers &amp; developers who are passionate about everything web &amp; mobile.</span> <span>If you are interested in front-end technologies, we would love to have you as a member of our group.</span></p>
<p>Connect with fellow developers and hackers to learn something new over meetups &amp; coffee. In addition to conversational meetups, we shall also be hosting seminars and workshops that will cover topics including but are not limited to :</p>
<ul>
<li><span>HTML5 /</span> <span>CSS3</span></li>
<li><span>Javascript frameworks and implementation demos</span></li>
<li>Interface design best practices on the web and mobile</li>
<li><span>Accessibility</span></li>
<li><span>CSS Preprocessors ( Sass/Less)</span></li>
<li><span>Prototyping &amp; Wireframes</span></li>
<li><span>Responsive Design</span></li>
<li><span>Mobile UI best practices</span></li>
<li><span>User Experience design and process</span></li>
<li><span>and more...</span></li>
</ul>
<p>Anyone from Delhi NCR is encouraged to join. This is open to everyone and anyone with an interest and eye for detail, design &amp; code.</p>
<p><a href=""https://www.facebook.com/groups/delhiFED/"">Join our Facebook Group</a> where we share resources &amp; tools our members.</p>
<p>---</p>
<p><a href=""https://twitter.com/anigupta"">@anigupta</a></p>
<p><a href=""http://twitter.com/vaibhavkanwal"">@vaibhavkanwal</a></p>",117746062,Vineet Bhardwaj
